,X,Y,label,country,color
0,4.5454926,7.8392496,USA,AFGHANISTAN,green
1,4.222244,6.0091276,USA,ALBANIA,green
2,8.806642,7.6778774,USA,ALGERIA,green
3,3.3646271,8.651127,USA,ARGENTINA,green
4,4.8397994,7.009523,USA,ARMENIA,green
5,3.5558221,7.75955,USA,AUSTRALIA,green
6,4.2311373,6.961434,USA,AUSTRIA,green
7,6.084521,4.701847,USA,AZERBAIJAN,green
8,3.1348667,8.39677,USA,BAHAMAS,green
9,9.117919,8.082391,USA,BAHRAIN,green
10,2.2847517,8.919662,USA,BANGLADESH,green
11,3.023048,8.230936,USA,BARBADOS,green
12,6.6317277,0.9713677,USA,BELARUS,green
13,4.2297077,7.2779813,USA,BELGIUM,green
14,2.8944936,8.102482,USA,BELIZE,green
15,5.275545,9.7785,USA,BENIN,green
16,3.1779504,8.112739,USA,BERMUDA,green
17,-0.40271094,2.771355,USA,BOLIVIA,green
18,4.3075843,6.2461643,USA,BOSNIA AND HERZEGOVINA,green
19,1.571688,8.336133,USA,BOTSWANA,green
20,1.3704104,3.0957878,USA,BRAZIL,green
21,2.7180054,7.947868,USA,BRUNEI DARUSSALAM,green
22,6.3820558,5.5948863,USA,BULGARIA,green
23,5.4499354,9.964402,USA,BURKINA FASO,green
24,1.4557987,8.0352745,USA,BURUNDI,green
25,2.900496,6.3719563,USA,CABO VERDE,green
26,2.486268,8.0422125,USA,CAMBODIA,green
27,5.1239996,9.60195,USA,CAMEROON,green
28,4.1658,7.5243154,USA,CANADA,green
29,5.1372194,9.597142,USA,CENTRAL AFRICAN REPUBLIC,green
30,-0.36655334,2.705689,USA,CHILE,green
31,6.7563534,5.832119,USA,CHINA,green
32,-0.8869116,2.8235216,USA,COLOMBIA,green
33,5.0679617,9.549304,USA,COMOROS,green
34,5.7185287,10.252215,USA,CONGO,green
35,5.6232,10.182977,USA,CONGO,green
36,-0.55373573,2.8362167,USA,COSTA RICA,green
37,5.606867,10.137632,USA,CÔTE D'IVOIRE,green
38,4.5419283,6.9234123,USA,CROATIA,green
39,-0.6515243,2.7652733,USA,CUBA,green
40,3.1981182,7.4891624,USA,CYPRUS,green
41,4.2059636,6.124223,USA,CZECHIA,green
42,4.098681,7.0684304,USA,DENMARK,green
43,5.034305,9.441027,USA,DJIBOUTI,green
44,-0.5916068,2.609186,USA,DOMINICAN REPUBLIC,green
45,-0.46734437,2.740759,USA,ECUADOR,green
46,9.133735,8.037955,USA,EGYPT,green
47,-0.86058706,2.9002469,USA,EL SALVADOR,green
48,-0.5104565,3.018201,USA,EQUATORIAL GUINEA,green
49,4.4558372,7.3301826,USA,ESTONIA,green
50,1.7594986,8.174133,USA,ESWATINI,green
51,1.2544777,8.249995,USA,ETHIOPIA,green
52,2.711463,8.390793,USA,FIJI,green
53,3.9059267,6.76495,USA,FINLAND,green
54,5.5604506,10.093194,USA,FRANCE,green
55,5.677263,10.191221,USA,GABON,green
56,2.4075506,7.2788897,USA,GAMBIA,green
57,6.4359536,5.667674,USA,GEORGIA,green
58,1.5301011,8.47596,USA,GHANA,green
59,4.6188474,6.8585134,USA,GREECE,green
60,-0.6651133,2.8662667,USA,GUATEMALA,green
61,5.5676737,10.105435,USA,GUINEA,green
62,2.4922886,7.2414007,USA,GUYANA,green
63,5.218951,9.707439,USA,HAITI,green
64,4.371324,7.4942937,USA,HOLY SEE,green
65,-0.62995094,2.8812032,USA,HONDURAS,green
66,3.7367616,7.471072,USA,ICELAND,green
67,2.5247767,8.838113,USA,INDIA,green
68,2.624245,6.784387,USA,INDONESIA,green
69,9.169099,7.1955824,USA,IRAQ,green
70,3.3962085,7.747393,USA,IRELAND,green
71,4.372305,7.4502892,USA,ISRAEL,green
72,3.9217963,6.607303,USA,ITALY,green
73,2.7341132,8.385595,USA,JAMAICA,green
74,3.1626027,8.496006,USA,JAPAN,green
75,9.139532,8.135273,USA,JORDAN,green
76,6.537443,5.517145,USA,KAZAKHSTAN,green
77,1.403041,8.44572,USA,KENYA,green
78,6.553251,5.7121997,USA,KOREA,green
79,9.226813,7.226715,USA,KUWAIT,green
80,6.689301,0.8642374,USA,KYRGYZSTAN,green
81,2.5245392,7.9113736,USA,LAOS,green
