,0
MARCEL,PROPN
PROUST,PROPN
À,ADP
la,DET
RECHERCHE,NOUN
DU,ADP
TEMPS,NOUN
PERDU,VERB
TOME,NOUN
I,X
Du,ADP
Côté,NOUN
de,ADP
Chez,ADP
Swann,PROPN
Monsieur,NOUN
Gaston,PROPN
Calmette,PROPN
_,PUNCT
Comme,SCONJ
un,DET
témoignage,NOUN
profonde,ADJ
et,CCONJ
affectueuse,ADJ
reconnaissance,NOUN
",",PUNCT
Marcel,PROPN
Proust,PROPN
.,PUNCT
PREMIÈRE,ADJ
PARTIE,NOUN
COMBRAY,PROPN
I.,NOUN
Longtemps,ADV
je,PRON
me,PRON
suis,AUX
couché,VERB
bonne,ADJ
heure,NOUN
Parfois,ADV
à,ADP
peine,ADV
ma,DET
bougie,NOUN
éteinte,VERB
mes,DET
yeux,NOUN
se,PRON
fermaient,VERB
si,SCONJ
vite,ADV
que,ADV
n’,ADV
avais,AUX
pas,ADV
le,DET
temps,NOUN
dire,NOUN
:,PUNCT
«,PUNCT
Je,PRON
m’,PRON
endors,VERB
»,PUNCT
Et,CCONJ
une,DET
demi-heure,NOUN
après,ADP
pensée,NOUN
qu’,ADV
il,PRON
était,AUX
chercher,VERB
sommeil,NOUN
éveillait,VERB
;,PUNCT
voulais,VERB
poser,VERB
volume,NOUN
croyais,VERB
avoir,AUX
encore,ADV
dans,ADP
les,DET
mains,NOUN
souffler,VERB
lumière,NOUN
cessé,VERB
en,PRON
dormant,VERB
faire,AUX
des,DET
réflexions,NOUN
sur,ADP
ce,PRON
venais,VERB
lire,VERB
mais,CCONJ
ces,DET
avaient,AUX
pris,VERB
tour,NOUN
peu,ADV
particulier,ADJ
semblait,VERB
j’,PRON
étais,VERB
moi,PRON
-,PRON
même,ADJ
dont,PRON
parlait,VERB
l’,DET
ouvrage,NOUN
église,NOUN
quatuor,NOUN
rivalité,NOUN
François,PROPN
Ier,ADJ
Charles,PROPN
Quint,PROPN
Cette,DET
croyance,NOUN
survivait,VERB
pendant,ADP
quelques,PRON
secondes,NOUN
mon,DET
réveil,NOUN
elle,PRON
ne,ADV
choquait,VERB
raison,NOUN
pesait,VERB
comme,ADP
écailles,NOUN
empêchait,VERB
rendre,VERB
compte,NOUN
bougeoir,NOUN
plus,ADV
allumé,VERB
Puis,CCONJ
commençait,VERB
devenir,VERB
inintelligible,ADJ
métempsycose,NOUN
pensées,NOUN
d’,ADP
existence,NOUN
antérieure,ADJ
sujet,NOUN
du,ADP
livre,NOUN
